sh;st0;st1;st2;st3;st4;st5;st6;st7;st8;st9;st10;st11;st12;st13
2390.35;0;7.6;6.31;9.44;9.53;2.44;14.59;13.59;2.99;3.11;9.3;9.43;16.05;3.65
2359.16;0;7.27;5.97;9.75;10.01;2.25;14.27;12.98;3.07;2.78;8.64;10.05;15.7;4.06
2345.74;0;7.15;5.36;9.33;8.53;2.02;13.16;13.04;2.92;2.91;9.69;9.13;15.8;3.82
2447.35;0;7.56;5.53;9.2;8.1;2.05;14.55;12.48;3.43;2.93;10.45;9.3;16.34;3.91
2460.6;0;7.37;5.56;8.85;7.29;2.03;13.96;11.76;3.36;3.04;11.09;8.8;16.43;3.53
2464.26;0;7.6;5.48;8.16;7.06;1.95;13.33;12.31;3.51;3.01;11;8.22;16.26;3.19
2457.95;0;7.58;5.52;8.57;7.49;2.13;14.94;13.22;4.1;2.98;10.78;8.41;16.69;3.25
2522.11;0;7.82;5.89;9.58;7.66;2.26;14.54;13.94;4.67;3.24;11.01;9.13;17.43;3.41
2562.45;0;8.2;6.53;9.62;7.95;2.28;14.96;14.21;4.97;3.33;11.64;9.29;17.52;3.47
2662.46;0;9.02;6.31;9.36;8.89;2.32;15.54;14.47;4.71;3.35;11.74;9.7;18.07;3.54
2621.05;0;9.03;6.23;9.99;8.98;2.37;15.57;14.83;5.15;3.42;11.53;9.91;18.04;3.56
2681.07;0;9.05;6.7;10.58;9.15;2.68;16.54;14.66;5.09;3.65;13.9;10.61;18.66;3.8
2584.45;0;8.41;5.92;10.74;8.1;2.72;15.1;14.4;4.79;3.87;13.6;10.24;18.97;3.73
2547.14;0;8.4;5.62;10.75;7.95;2.6;14.31;13.94;4.31;3.85;13.22;9.34;17.77;3.71
2519.83;0;7.69;5.46;11.23;7.73;2.59;14.47;14.27;4.67;3.6;13.83;9.09;17.2;3.44
2580.45;0;8.41;5.87;10.8;7.59;2.88;14.53;14.4;4.83;3.62;14.76;9.64;17.31;3.54
2626.84;0;8.55;5.78;10.48;7.89;2.9;14.9;14.67;4.38;3.69;14.45;9.91;17.23;3.76
2626.16;0;8.39;5.18;10.48;6.84;2.77;13.8;14.21;4.51;3.47;14.45;9.9;16.8;3.59
2709.12;0;8.78;5.34;10.77;7.4;2.78;14.33;15.58;4.85;3.74;18.51;10.23;17.43;3.78
2617.37;0;8.36;5.09;11.35;7.12;2.7;13.41;16.22;4.7;3.87;19.28;10.01;17.22;3.75
2627.53;0;8.34;5.22;11.22;7.06;2.81;13.48;16.68;4.56;3.72;20.86;10.55;17.04;3.69
2650.85;0;8.45;5.27;11.99;7.42;2.83;13.02;16.1;5.17;3.93;21.48;10.63;16.9;3.62
2558.84;0;8.02;5.51;11.77;7.09;2.88;12.74;16.82;5.03;3.74;20.68;10.98;16.85;3.69
2540.18;0;8.15;6;11.95;7.71;3.56;13.64;17.61;5.53;3.66;21.32;10.98;16.57;3.72
2558.62;0;7.99;5.59;12.35;7.71;3.74;13.85;18.39;5.4;3.57;20.1;10.98;16.45;3.81
2447.2;0;7.73;5.38;11.97;7.02;3.21;13;19.71;5.28;3.51;19.1;10.98;15.33;3.99
2464.92;0;7.84;5.41;12.28;7.06;3.92;13.98;19.43;5.84;3.53;20.62;10.98;14.97;4.24
2425.57;0;7.78;5.24;12.61;6.82;3.55;14.64;20.01;5.62;3.71;22.32;10.98;14.24;4.15
2414.34;0;7.68;5.06;13.58;6.1;3.58;13.97;19.04;5.43;3.85;22.08;10.65;12.69;4.19
2360.08;0;7.23;5.1;12.92;6.25;3.75;13.63;19.52;5.25;3.85;20.9;10.86;12.05;4.26
2358.65;0;7.22;5.44;12.96;5.62;3.98;13.58;19.26;5.28;3.85;19.15;9.95;10.69;4.21
2389.8;0;7.29;5.55;13.18;6;4.11;14.1;20.82;5.34;3.85;19.36;10.54;12.32;4.52
2331.62;0;7.61;5.68;13.58;5.7;3.97;14.85;21.95;5.52;3.85;18.2;10.78;11.76;4.66
2295.59;0;7.51;5.66;12.92;6.54;4.11;14.85;22.16;5.21;3.85;18.62;10.9;11.96;4.82
2214.81;0;7.09;5.46;12.04;6.31;3.85;14.37;21.03;5.02;3.85;15.22;10.83;12.73;4.67
2199.88;0;6.98;5.28;12.35;6.13;3.49;14.66;21.23;5.25;3.85;15.38;10.78;11.73;4.65
2320.07;0;7.58;5.59;12.11;6.62;3.68;14.89;20.84;5.4;3.85;16.86;12.71;13.02;4.73
2246.24;0;7.43;5.23;11.37;6.29;3.77;15;20.92;5.13;3.85;15.4;12.01;12.21;4.57
2184.89;0;6.9;4.54;11.04;5.5;3.12;14.55;19.53;5.03;3.85;14.03;11.35;10.54;4.27
2324.12;0;7.69;4.91;12.54;6.01;3.34;15.11;21.59;5.5;3.85;15.23;12.19;11.83;4.73
2300.8;0;7.48;4.84;12.37;5.84;3.58;14.75;21.56;5.46;3.85;14.83;10.78;11.3;4.74
2307.78;0;7.43;4.72;11.64;6.02;3.4;14.76;20.98;5.96;3.59;14.2;10.35;11.3;4.65
2254.82;0;7.04;4.45;11.24;5.98;3.45;14.06;20.67;6.33;3.96;13.26;10.06;11.3;5.03
2287.51;0;7.15;4.43;11.32;6.16;3.36;14.01;20.26;6.63;3.82;13.87;10.47;11.3;4.86
2223.11;0;7.08;4.12;10.92;6.25;3.19;14.08;19.54;6.34;3.66;13.69;9.85;11.3;4.6
2194.9;0;7.02;4.01;9.77;6.51;3.02;13.91;19.58;6.79;3.56;13.32;8.87;11.3;4.7
2129.16;0;6.66;3.72;9.06;5.52;2.83;11.91;18.89;6.22;3.27;12.78;9;11.3;4.33
2207.88;0;6.9;3.8;9.59;5.82;2.85;12.48;21.31;7.18;3.32;12.38;8.9;11.3;4.55
2267.77;0;7.1;3.87;10.04;6.23;2.91;13.24;20.44;7.1;3.62;13.23;9.68;11.3;4.41
2371.11;0;7.27;4.14;9.51;6.08;2.94;14.03;18.88;7.41;3.8;14.62;9.66;11.3;4.55
2457.62;0;7.66;4.57;10.85;6.56;3.11;15;20.32;8.52;4.14;15.23;10.89;11.3;4.83
